request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,25256.00,affordable_now,full_payment,2024-03-03:25256.00,2024-03-03,none,"Pay ZAR 25,256.00 today. This keeps the ZAR 18,000 minimum available over the next 90 days."
request_02,18376094.03,not_affordable,not_recommended,none,2025-08-14,none,"Do not make this payment. None of the available options keeps the IDR 29,158,400 minimum protected."
request_03,0.00,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the IDR 2,668,700 minimum protected."
request_04,10283912.78,affordable_later,wait,2024-06-13:12693000.00,2024-06-13,none,"Pay IDR 12,693,000.00 in full on 2024-06-13. Paying earlier would take the balance below the IDR 30,686,600 minimum."
request_05,15488.00,affordable_now,full_payment,2025-11-06:15488.00,2025-11-06,none,"Pay ZAR 15,488.00 today. This keeps the ZAR 13,100 minimum available over the next 90 days."
request_06,620.40,affordable_now,full_payment,2026-01-03:620.40,2026-01-03,none,Pay EUR 620.40 today. This keeps the EUR 800 minimum available over the next 90 days.
request_07,87730.85,affordable_with_plan,installments,2024-09-12:68432.00|2024-10-10:68432.00|2024-11-07:68432.00,2024-09-22,none,"Use the installment plan. This keeps the INR 93,000 minimum available throughout the forecast period."
request_08,0.00,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 800 minimum protected.
request_09,166.61,affordable_now,full_payment,2026-07-04:166.61,2026-07-04,none,Pay EUR 166.61 today. This keeps the EUR 600 minimum available over the next 90 days.
request_10,266700.00,not_affordable,not_recommended,none,2024-12-06,none,"Do not make this payment. None of the available options keeps the INR 225,400 minimum protected."
request_11,13110000.00,affordable_now,full_payment,2025-05-03:13110000.00,2025-05-03,none,"Pay IDR 13,110,000.00 today. This keeps the IDR 34,140,600 minimum available over the next 90 days."
request_12,65164.00,affordable_with_plan,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,none,"Use the installment plan. This keeps the ZAR 43,200 minimum available throughout the forecast period."
request_13,941.60,affordable_now,full_payment,2024-03-07:941.60,2024-03-07,none,"Pay EUR 941.60 today. This keeps the EUR 1,300 minimum available over the next 90 days."
request_14,0.00,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the EUR 2,200 minimum protected."
request_15,23.13,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the EUR 1,200 minimum protected."
request_16,122500.00,affordable_now,full_payment,2023-08-12:122500.00,2023-08-12,none,"Pay INR 122,500.00 today. This keeps the INR 122,400 minimum available over the next 90 days."
request_17,247352.34,affordable_with_plan,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-15,none,"Use the installment plan. This keeps the INR 166,100 minimum available throughout the forecast period."
request_18,539.38,affordable_later,wait,2026-07-15:3246.10,2026-07-15,none,"Pay EUR 3,246.10 in full on 2026-07-15. Paying earlier would take the balance below the EUR 1,400 minimum."
request_19,39660.00,affordable_with_plan,installments,2024-09-04:20623.20|2024-10-02:20623.20,2024-09-04,none,"Use the installment plan. This keeps the INR 92,800 minimum available throughout the forecast period."
request_20,16559.50,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 64,500 minimum protected."
request_21,1574.40,affordable_now,full_payment,2026-04-03:1574.40,2026-04-03,none,"Pay USD 1,574.40 today. This keeps the USD 1,800 minimum available over the next 90 days."
request_22,458.85,not_affordable,not_recommended,none,2024-12-16,none,Do not make this payment. None of the available options keeps the EUR 500 minimum protected.
request_23,9997.01,affordable_later,wait,2025-05-16:38016.00,2025-05-16,none,"Pay ZAR 38,016.00 in full on 2025-05-16. Paying earlier would take the balance below the ZAR 27,000 minimum."
request_24,15283.09,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 51,000 minimum protected."
request_25,397205.65,affordable_later,wait,2024-04-15:60496000.00,2024-04-15,none,"Pay IDR 60,496,000.00 in full on 2024-04-15. Paying earlier would take the balance below the IDR 23,379,100 minimum."
